"Time","greggs"
"2021-07-01",71
"2021-08-01",75
"2021-09-01",71
"2021-10-01",79
"2021-11-01",80
"2021-12-01",78
"2022-01-01",70
"2022-02-01",83
"2022-03-01",70
"2022-04-01",72
"2022-05-01",69
"2022-06-01",72
"2022-07-01",74
"2022-08-01",94
"2022-09-01",89
"2022-10-01",84
"2022-11-01",89
"2022-12-01",94
"2023-01-01",79
"2023-02-01",82
"2023-03-01",79
"2023-04-01",78
"2023-05-01",77
"2023-06-01",79
"2023-07-01",83
"2023-08-01",80
"2023-09-01",80
"2023-10-01",85
"2023-11-01",96
"2023-12-01",98
"2024-01-01",82
"2024-02-01",87
"2024-03-01",96
"2024-04-01",83
"2024-05-01",83
"2024-06-01",81
"2024-07-01",86
"2024-08-01",91
"2024-09-01",88
"2024-10-01",91
"2024-11-01",98
"2024-12-01",93
"2025-01-01",86
"2025-02-01",84
"2025-03-01",87
"2025-04-01",84
"2025-05-01",90
"2025-06-01",79
"2025-07-01",88
"2025-08-01",95
"2025-09-01",99
"2025-10-01",97
"2025-11-01",95
"2025-12-01",100
"2026-01-01",83
"2026-02-01",78
"2026-03-01",89
"2026-04-01",90
"2026-05-01",89
"2026-06-01",87
"2026-07-01",82
